order_id,first_name,last_name,city,state,order_date,store_id,store_city,store_name,staff_id,rep,rep2,list_price,product_id,discount,quantity,product_name,category_name,brand_name
4,Nova,Hess,Duarte,CA,2016-01-03,1,Santa Cruz,Santa Cruz Bikes,3,Genna,Serrano,749.99,2,0.10,2,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey
18,Lanita,Burton,Coachella,CA,2016-01-14,1,Santa Cruz,Santa Cruz Bikes,3,Genna,Serrano,749.99,2,0.20,2,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey
26,Jackeline,Colon,Wappingers Falls,NY,2016-01-18,2,Baldwin,Baldwin Bikes,7,Venita,Daniel,749.99,2,0.20,1,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey
59,Rodney,Odom,Richmond Hill,NY,2016-02-05,2,Baldwin,Baldwin Bikes,7,Venita,Daniel,749.99,2,0.10,1,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey
66,Susannah,Fields,Far Rockaway,NY,2016-02-09,2,Baldwin,Baldwin Bikes,7,Venita,Daniel,749.99,2,0.20,1,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey
93,Cindie,Franklin,Lawndale,CA,2016-02-26,1,Santa Cruz,Santa Cruz Bikes,3,Genna,Serrano,749.99,2,0.20,1,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey
97,Alpha,King,Rockville Centre,NY,2016-02-28,2,Baldwin,Baldwin Bikes,7,Venita,Daniel,749.99,2,0.07,1,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey
98,Leticia,Snyder,Pittsford,NY,2016-02-28,2,Baldwin,Baldwin Bikes,6,Marcelene,Boyer,749.99,2,0.20,1,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey
114,Mark,Benton,East Elmhurst,NY,2016-03-08,2,Baldwin,Baldwin Bikes,7,Venita,Daniel,749.99,2,0.07,1,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey
121,Tomika,Wilder,New Hyde Park,NY,2016-03-14,2,Baldwin,Baldwin Bikes,6,Marcelene,Boyer,749.99,2,0.05,2,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey
